Temperature,Humidity,WindDirection,Precipitation,WindSpeed,Home_Prv_FTHG,Home_Prv_HS,Home_Prv_HST,Home_Prv_HF,Home_Prv_HC,Home_Prv_HY,Home_Prv_HR,Away_Prv_FTAG,Away_Prv_AS,Away_Prv_AST,Away_Prv_AF,Away_Prv_AC,Away_Prv_AY,Away_Prv_AR,Home_Team_Rest,Away_Team_Rest,Home_Team_Avg_Rest_Last_3,Away_Team_Avg_Rest_Last_3,Home_Avg_3_FTHG,Home_Avg_3_HS,Home_Avg_3_HST,Home_Avg_3_HF,Home_Avg_3_HC,Home_Avg_3_HY,Home_Avg_3_HR,Away_Avg_3_FTAG,Away_Avg_3_AS,Away_Avg_3_AST,Away_Avg_3_AF,Away_Avg_3_AC,Away_Avg_3_AY,Away_Avg_3_AR,Home_Prv_3_Win,Away_Prv_3_Win,Home_Prv_FTR,Away_Prv_FTR,WeatherCode,Time_of_Day,FTR,Date,Time,season,HomeTeam,AwayTeam,B365H,B365D,B365A,WHH,WHD,WHA,PSH,PSD,PSA,MaxH,MaxD,MaxA
19.17,61,210,0.0,9.3,2.0,12.0,4.0,10.0,5.0,3.0,0.0,1.0,22.0,3.0,8.0,8.0,2.0,0.0,7.0,7.0,7.0,6.666666666666667,1.0,12.333333333333334,3.333333333333333,10.666666666666666,5.666666666666667,1.6666666666666667,0.0,2.0,14.0,3.333333333333333,10.333333333333334,5.0,2.333333333333333,0.0,1.0,1.0,0.0,0.0,Clouds,Afternoon,0,2019-08-31,12:30,2019-2020,Southampton,Man United,3.8,3.3,2.05,3.75,3.3,2.1,3.83,3.41,2.12,3.9,3.48,2.15
20.91,63,240,0.0,8.2,3.0,23.0,8.0,9.0,8.0,1.0,0.0,1.0,8.0,3.0,11.0,7.0,1.0,0.0,7.0,7.0,6.666666666666667,7.0,1.3333333333333333,18.33333333333333,6.666666666666667,10.333333333333334,5.666666666666667,2.0,0.0,1.0,10.333333333333334,3.0,15.333333333333334,6.0,2.0,0.0,1.0,1.0,0.0,0.0,Clear,Afternoon,0,2019-08-31,15:00,2019-2020,Chelsea,Sheffield United,1.36,4.75,9.0,1.35,4.8,9.0,1.36,5.12,10.23,1.4,5.3,10.75
18.17,69,269,0.0,5.41,2.0,10.0,2.0,6.0,4.0,0.0,0.0,1.0,10.0,7.0,7.0,4.0,1.0,0.0,7.0,6.0,6.666666666666667,7.0,1.0,12.333333333333334,2.0,7.666666666666667,7.0,0.0,0.0,1.3333333333333333,11.666666666666666,4.666666666666667,10.0,5.666666666666667,1.0,0.0,1.0,1.0,0.0,0.0,Clouds,Afternoon,1,2019-08-31,15:00,2019-2020,Leicester,Bournemouth,1.7,4.0,4.75,1.7,3.9,4.8,1.71,4.12,4.95,1.77,4.12,5.0
20.35,65,240,0.0,6.2,2.0,5.0,3.0,18.0,1.0,4.0,0.0,2.0,7.0,3.0,10.0,0.0,2.0,0.0,7.0,8.0,7.0,7.0,0.6666666666666666,5.666666666666667,3.0,15.0,3.6666666666666665,2.333333333333333,0.0,1.3333333333333333,12.0,4.666666666666667,9.666666666666666,8.0,1.0,0.0,1.0,1.0,0.0,1.0,Rain,Afternoon,1,2019-08-31,15:00,2019-2020,Crystal Palace,Aston Villa,2.15,3.3,3.5,2.2,3.3,3.4,2.22,3.44,3.5,2.27,3.46,3.6
21.41,62,240,0.0,6.2,3.0,16.0,10.0,11.0,7.0,1.0,0.0,2.0,6.0,5.0,9.0,1.0,1.0,0.0,7.0,7.0,7.0,7.333333333333333,1.3333333333333333,9.666666666666666,5.333333333333333,9.0,4.666666666666667,1.6666666666666667,0.0,2.0,11.0,6.0,9.0,6.333333333333333,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,Clear,Afternoon,1,2019-08-31,15:00,2019-2020,West Ham,Norwich,1.85,3.9,3.9,1.88,3.8,3.9,1.91,3.93,4.04,1.94,4.03,4.1
16.5,63,260,0.0,9.3,1.0,8.0,3.0,5.0,6.0,2.0,0.0,1.0,23.0,3.0,12.0,8.0,1.0,0.0,6.0,7.0,6.666666666666667,7.0,0.6666666666666666,9.0,2.6666666666666665,9.333333333333334,5.333333333333333,2.0,0.0,0.3333333333333333,14.0,2.6666666666666665,12.666666666666666,5.666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,Clouds,Afternoon,0,2019-08-31,15:00,2019-2020,Newcastle,Watford,2.5,3.25,2.87,2.62,3.2,2.8,2.73,3.22,2.86,2.73,3.32,3.0
16.16,75,280,0.0,8.2,3.0,19.0,5.0,13.0,5.0,3.0,0.0,0.0,12.0,3.0,9.0,8.0,1.0,1.0,6.0,7.0,7.0,7.0,3.333333333333333,21.0,8.0,13.333333333333334,6.333333333333333,2.0,0.0,1.3333333333333333,11.0,3.333333333333333,10.333333333333334,7.0,0.3333333333333333,0.3333333333333333,2.0,1.0,0.0,0.0,Clouds,Afternoon,1,2019-08-31,15:00,2019-2020,Man City,Brighton,1.08,10.0,26.0,1.07,11.0,34.0,1.08,13.01,34.71,1.1,13.01,36.0
14.6,74,265,0.0,5.09,1.0,13.0,4.0,11.0,3.0,2.0,0.0,3.0,25.0,5.0,8.0,6.0,1.0,0.0,6.0,7.0,7.0,7.333333333333333,1.6666666666666667,13.666666666666666,4.333333333333333,9.333333333333334,4.0,1.0,0.0,3.0,18.33333333333333,6.0,7.666666666666667,7.333333333333333,1.0,0.0,1.0,3.0,0.0,1.0,Clouds,Evening,0,2019-08-31,17:30,2019-2020,Burnley,Liverpool,9.5,5.5,1.3,10.0,5.25,1.32,10.24,5.37,1.34,11.0,5.7,1.37
15.53,64,300,0.25,10.8,0.0,12.0,1.0,18.0,6.0,3.0,0.0,1.0,17.0,2.0,9.0,4.0,0.0,0.0,9.0,7.0,7.333333333333333,7.0,0.3333333333333333,11.333333333333334,2.0,14.333333333333334,4.0,2.0,0.3333333333333333,0.6666666666666666,10.333333333333334,2.0,13.0,6.666666666666667,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,Rain,Afternoon,1,2019-09-01,14:00,2019-2020,Everton,Wolves,2.2,3.25,3.5,2.15,3.25,3.6,2.17,3.36,3.71,2.22,3.4,3.85
20.37,34,290,0.0,5.1,1.0,9.0,3.0,5.0,4.0,1.0,0.0,0.0,17.0,2.0,10.0,6.0,2.0,0.0,8.0,7.0,7.0,7.333333333333333,1.3333333333333333,11.0,4.666666666666667,8.333333333333334,5.666666666666667,2.0,0.0,1.6666666666666667,17.0,3.6666666666666665,9.0,11.0,1.3333333333333333,0.0,2.0,1.0,1.0,0.0,Clear,Afternoon,0,2019-09-01,16:30,2019-2020,Arsenal,Tottenham,2.37,3.6,2.8,2.35,3.6,2.9,2.38,3.67,3.0,2.43,3.75,3.0
