,Number of Features,Mean CV Score,CV Score Std,Selected Features
0,3,0.6232375478927203,0.02306555176490775,"['Home_Avg_3_HS', 'Home_Prv_3_Win', 'WeatherCode_Clouds']"
1,6,0.6315613026819923,0.02549933645177702,"['Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Prv_3_Win', 'WeatherCode_Clouds', 'WeatherCode_Fog', 'WeatherCode_Haze']"
2,9,0.6288122605363984,0.022032766848286933,"['Away_Prv_AR', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Prv_3_Win', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Snow']"
3,12,0.6274233716475096,0.01712930796130557,"['WindDirection', 'Away_Prv_AR', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Snow']"
4,15,0.6274137931034482,0.034453033697372376,"['WindDirection', 'Home_Prv_FTHG', 'Home_Prv_HR', 'Away_Prv_AR', 'Away_Team_Rest', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Snow']"
5,18,0.6163505747126437,0.024847574110895217,"['WindDirection', 'Home_Prv_FTHG', 'Home_Prv_HR', 'Away_Prv_AR', 'Home_Team_Rest', 'Away_Team_Rest', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Away_Avg_3_AC', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Mist', 'WeatherCode_Snow']"
6,21,0.6052681992337164,0.02422385197439348,"['WindDirection', 'Precipitation', 'Home_Prv_FTHG', 'Home_Prv_HR', 'Away_Prv_AR', 'Home_Team_Rest', 'Away_Team_Rest', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Home_Avg_3_HR', 'Away_Avg_3_AC', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'Away_Prv_FTR', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Mist', 'WeatherCode_Snow']"
7,24,0.6011302681992337,0.017843328787035703,"['WindDirection', 'Precipitation', 'Home_Prv_FTHG', 'Home_Prv_HST', 'Home_Prv_HR', 'Away_Prv_AR', 'Home_Team_Rest', 'Away_Team_Rest', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Home_Avg_3_HR', 'Away_Avg_3_AC', 'Away_Avg_3_AY', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'Home_Prv_FTR', 'Away_Prv_FTR', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Mist', 'WeatherCode_Snow']"
8,27,0.5982854406130269,0.028800030011940193,"['WindDirection', 'Precipitation', 'Home_Prv_FTHG', 'Home_Prv_HST', 'Home_Prv_HF', 'Home_Prv_HR', 'Away_Prv_AC', 'Away_Prv_AR', 'Home_Team_Rest', 'Away_Team_Rest', 'Home_Avg_3_FTHG', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Home_Avg_3_HR', 'Away_Avg_3_AC', 'Away_Avg_3_AY', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'Home_Prv_FTR', 'Away_Prv_FTR', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Mist', 'WeatherCode_Snow']"
9,30,0.5844540229885057,0.031142432047361338,"['WindDirection', 'Precipitation', 'WindSpeed', 'Home_Prv_FTHG', 'Home_Prv_HST', 'Home_Prv_HF', 'Home_Prv_HR', 'Away_Prv_AC', 'Away_Prv_AR', 'Home_Team_Rest', 'Away_Team_Rest', 'Home_Team_Avg_Rest_Last_3', 'Away_Team_Avg_Rest_Last_3', 'Home_Avg_3_FTHG', 'Home_Avg_3_HS', 'Home_Avg_3_HF', 'Home_Avg_3_HC', 'Home_Avg_3_HR', 'Away_Avg_3_AC', 'Away_Avg_3_AY', 'Away_Avg_3_AR', 'Home_Prv_3_Win', 'Home_Prv_FTR', 'Away_Prv_FTR', 'WeatherCode_Clouds', 'WeatherCode_Drizzle', 'WeatherCode_Fog', 'WeatherCode_Haze', 'WeatherCode_Mist', 'WeatherCode_Snow']"
